CustomerID,Daypart,Visit#Daypart
395916,5 PM - before 9 PM,2
396259,5 PM - before 9 PM,2
398379,5 PM - before 9 PM,2
398380,5 PM - before 9 PM,2
398942,5 PM - before 9 PM,2
401631,5 PM - before 9 PM,2
407567,5 PM - before 9 PM,2
410852,5 PM - before 9 PM,2
410855,5 PM - before 9 PM,2
410858,5 PM - before 9 PM,2
410860,5 PM - before 9 PM,2
410988,5 PM - before 9 PM,2
411312,5 PM - before 9 PM,2
411337,5 PM - before 9 PM,2
411459,5 PM - before 9 PM,2
411460,5 PM - before 9 PM,2
411685,5 PM - before 9 PM,2
411687,5 PM - before 9 PM,2
411689,5 PM - before 9 PM,2
411690,5 PM - before 9 PM,2
411693,5 PM - before 9 PM,2
411694,5 PM - before 9 PM,2
411698,5 PM - before 9 PM,2
411798,5 PM - before 9 PM,2
411799,5 PM - before 9 PM,2
411843,5 PM - before 9 PM,2
414168,5 PM - before 9 PM,2
430284,5 PM - before 9 PM,2
430293,5 PM - before 9 PM,2
430335,5 PM - before 9 PM,2
430338,5 PM - before 9 PM,2
431621,5 PM - before 9 PM,2
431631,5 PM - before 9 PM,2
431927,5 PM - before 9 PM,2
431929,5 PM - before 9 PM,2
432319,5 PM - before 9 PM,2
432320,5 PM - before 9 PM,2
433330,5 PM - before 9 PM,2
433331,5 PM - before 9 PM,2
433333,5 PM - before 9 PM,2
433336,5 PM - before 9 PM,2
433701,5 PM - before 9 PM,2
435039,5 PM - before 9 PM,2
435612,5 PM - before 9 PM,2
435613,5 PM - before 9 PM,2
435615,5 PM - before 9 PM,2
435976,5 PM - before 9 PM,2
437231,5 PM - before 9 PM,2
437238,5 PM - before 9 PM,2
437242,5 PM - before 9 PM,2
437248,5 PM - before 9 PM,2
437253,5 PM - before 9 PM,2
437254,5 PM - before 9 PM,2
437767,5 PM - before 9 PM,2
437769,5 PM - before 9 PM,2
437909,5 PM - before 9 PM,2
438991,5 PM - before 9 PM,2
438997,5 PM - before 9 PM,2
438999,5 PM - before 9 PM,2
439002,5 PM - before 9 PM,2
439069,5 PM - before 9 PM,2
439177,5 PM - before 9 PM,2
439178,5 PM - before 9 PM,2
439179,5 PM - before 9 PM,2
439193,5 PM - before 9 PM,2
439198,5 PM - before 9 PM,2
439431,5 PM - before 9 PM,2
439979,5 PM - before 9 PM,2
440504,5 PM - before 9 PM,2
441909,5 PM - before 9 PM,2
441913,5 PM - before 9 PM,2
441916,5 PM - before 9 PM,2
441918,5 PM - before 9 PM,2
442251,5 PM - before 9 PM,2
443647,5 PM - before 9 PM,2
443660,5 PM - before 9 PM,2
443724,5 PM - before 9 PM,2
443730,5 PM - before 9 PM,2
443997,5 PM - before 9 PM,2
444079,5 PM - before 9 PM,2
444425,5 PM - before 9 PM,2
444455,5 PM - before 9 PM,2
444672,5 PM - before 9 PM,2
444675,5 PM - before 9 PM,2
444679,5 PM - before 9 PM,2
446107,5 PM - before 9 PM,2
446505,5 PM - before 9 PM,2
447016,5 PM - before 9 PM,2
447328,5 PM - before 9 PM,2
447367,5 PM - before 9 PM,2
447439,5 PM - before 9 PM,2
447701,5 PM - before 9 PM,2
447702,5 PM - before 9 PM,2
447712,5 PM - before 9 PM,2
447773,5 PM - before 9 PM,2
447992,5 PM - before 9 PM,2
448113,5 PM - before 9 PM,2
448133,5 PM - before 9 PM,2
448578,5 PM - before 9 PM,2
448833,5 PM - before 9 PM,2
448899,5 PM - before 9 PM,2
448902,5 PM - before 9 PM,2
448964,5 PM - before 9 PM,2
449009,5 PM - before 9 PM,2
449038,5 PM - before 9 PM,2
449340,5 PM - before 9 PM,2
449719,5 PM - before 9 PM,2
450075,5 PM - before 9 PM,2
450796,5 PM - before 9 PM,2
450970,5 PM - before 9 PM,2
451421,5 PM - before 9 PM,2
451855,5 PM - before 9 PM,2
451870,5 PM - before 9 PM,2
451893,5 PM - before 9 PM,2
451901,5 PM - before 9 PM,2
451905,5 PM - before 9 PM,2
451912,5 PM - before 9 PM,2
451914,5 PM - before 9 PM,2
452375,5 PM - before 9 PM,2
452561,5 PM - before 9 PM,2
452635,5 PM - before 9 PM,2
452658,5 PM - before 9 PM,2
452747,5 PM - before 9 PM,2
452761,5 PM - before 9 PM,2
452767,5 PM - before 9 PM,2
453023,5 PM - before 9 PM,2
453399,5 PM - before 9 PM,2
453578,5 PM - before 9 PM,2
453868,5 PM - before 9 PM,2
454692,5 PM - before 9 PM,2
454751,5 PM - before 9 PM,2
454831,5 PM - before 9 PM,2
454844,5 PM - before 9 PM,2
454980,5 PM - before 9 PM,2
455010,5 PM - before 9 PM,2
455083,5 PM - before 9 PM,2
455439,5 PM - before 9 PM,2
455623,5 PM - before 9 PM,2
455716,5 PM - before 9 PM,2
456149,5 PM - before 9 PM,2
456175,5 PM - before 9 PM,2
456562,5 PM - before 9 PM,2
456937,5 PM - before 9 PM,2
457213,5 PM - before 9 PM,2
458232,5 PM - before 9 PM,2
459121,5 PM - before 9 PM,2
459292,5 PM - before 9 PM,2
459787,5 PM - before 9 PM,2
459933,5 PM - before 9 PM,2
459934,5 PM - before 9 PM,2
459971,5 PM - before 9 PM,2
459975,5 PM - before 9 PM,2
460193,5 PM - before 9 PM,2
460223,5 PM - before 9 PM,2
732944,5 PM - before 9 PM,2
732959,5 PM - before 9 PM,2
733754,5 PM - before 9 PM,2
733945,5 PM - before 9 PM,2
735138,5 PM - before 9 PM,2
737379,5 PM - before 9 PM,2
737716,5 PM - before 9 PM,2
741185,5 PM - before 9 PM,2
741676,5 PM - before 9 PM,2
744702,5 PM - before 9 PM,2
751637,5 PM - before 9 PM,2
753557,5 PM - before 9 PM,2
755862,5 PM - before 9 PM,2
756192,5 PM - before 9 PM,2
771368,5 PM - before 9 PM,2
781716,5 PM - before 9 PM,2
784047,5 PM - before 9 PM,2
785881,5 PM - before 9 PM,2
787962,5 PM - before 9 PM,2
789235,5 PM - before 9 PM,2
789606,5 PM - before 9 PM,2
793568,5 PM - before 9 PM,2
794157,5 PM - before 9 PM,2
794635,5 PM - before 9 PM,2
794735,5 PM - before 9 PM,2
795104,5 PM - before 9 PM,2
797551,5 PM - before 9 PM,2
797750,5 PM - before 9 PM,2
798058,5 PM - before 9 PM,2
798841,5 PM - before 9 PM,2
803303,5 PM - before 9 PM,2
805553,5 PM - before 9 PM,2
808477,5 PM - before 9 PM,2
808835,5 PM - before 9 PM,2
810030,5 PM - before 9 PM,2
811879,5 PM - before 9 PM,2
812786,5 PM - before 9 PM,2
816708,5 PM - before 9 PM,2
816972,5 PM - before 9 PM,2
817926,5 PM - before 9 PM,2
820045,5 PM - before 9 PM,2
824800,5 PM - before 9 PM,2
826458,5 PM - before 9 PM,2
827058,5 PM - before 9 PM,2
827468,5 PM - before 9 PM,2
828594,5 PM - before 9 PM,2
829094,5 PM - before 9 PM,2
830232,5 PM - before 9 PM,2
830357,5 PM - before 9 PM,2
830378,5 PM - before 9 PM,2
830803,5 PM - before 9 PM,2
831002,5 PM - before 9 PM,2
831421,5 PM - before 9 PM,2
831910,5 PM - before 9 PM,2
831922,5 PM - before 9 PM,2
832004,5 PM - before 9 PM,2
832244,5 PM - before 9 PM,2
832355,5 PM - before 9 PM,2
833429,5 PM - before 9 PM,2
833454,5 PM - before 9 PM,2
833455,5 PM - before 9 PM,2
833521,5 PM - before 9 PM,2
834791,5 PM - before 9 PM,2
835013,5 PM - before 9 PM,2
835124,5 PM - before 9 PM,2
835226,5 PM - before 9 PM,2
836142,5 PM - before 9 PM,2
836626,5 PM - before 9 PM,2
837375,5 PM - before 9 PM,2
837569,5 PM - before 9 PM,2
837620,5 PM - before 9 PM,2
837764,5 PM - before 9 PM,2
837954,5 PM - before 9 PM,2
838121,5 PM - before 9 PM,2
838788,5 PM - before 9 PM,2
839343,5 PM - before 9 PM,2
839458,5 PM - before 9 PM,2
839822,5 PM - before 9 PM,2
841157,5 PM - before 9 PM,2
841333,5 PM - before 9 PM,2
841820,5 PM - before 9 PM,2
842154,5 PM - before 9 PM,2
844588,5 PM - before 9 PM,2
845166,5 PM - before 9 PM,2
846055,5 PM - before 9 PM,2
89618,5 PM - before 9 PM,2
90424,5 PM - before 9 PM,2
91142,5 PM - before 9 PM,2
91143,5 PM - before 9 PM,2
91854,5 PM - before 9 PM,2
92071,5 PM - before 9 PM,2
92812,5 PM - before 9 PM,2
92813,5 PM - before 9 PM,2
93167,5 PM - before 9 PM,2
93168,5 PM - before 9 PM,2
93387,5 PM - before 9 PM,2
93388,5 PM - before 9 PM,2
94804,5 PM - before 9 PM,2
95250,5 PM - before 9 PM,2
95719,5 PM - before 9 PM,2
96308,5 PM - before 9 PM,2
96500,5 PM - before 9 PM,2
103001,5 PM - before 9 PM,2
106771,5 PM - before 9 PM,2
108888,5 PM - before 9 PM,2
109206,5 PM - before 9 PM,2
109208,5 PM - before 9 PM,2
110394,5 PM - before 9 PM,2
110592,5 PM - before 9 PM,2
111404,5 PM - before 9 PM,2
111459,5 PM - before 9 PM,2
111874,5 PM - before 9 PM,2
111876,5 PM - before 9 PM,2
112177,5 PM - before 9 PM,2
112222,5 PM - before 9 PM,2
112294,5 PM - before 9 PM,2
112536,5 PM - before 9 PM,2
112544,5 PM - before 9 PM,2
117706,5 PM - before 9 PM,2
117709,5 PM - before 9 PM,2
118268,5 PM - before 9 PM,2
119595,5 PM - before 9 PM,2
119616,5 PM - before 9 PM,2
121224,5 PM - before 9 PM,2
122192,5 PM - before 9 PM,2
123912,5 PM - before 9 PM,2
123915,5 PM - before 9 PM,2
124229,5 PM - before 9 PM,2
124556,5 PM - before 9 PM,2
124742,5 PM - before 9 PM,2
124743,5 PM - before 9 PM,2
124754,5 PM - before 9 PM,2
124839,5 PM - before 9 PM,2
125596,5 PM - before 9 PM,2
125731,5 PM - before 9 PM,2
125945,5 PM - before 9 PM,2
126115,5 PM - before 9 PM,2
126278,5 PM - before 9 PM,2
130959,5 PM - before 9 PM,2
131560,5 PM - before 9 PM,2
132948,5 PM - before 9 PM,2
132977,5 PM - before 9 PM,2
133379,5 PM - before 9 PM,2
134340,5 PM - before 9 PM,2
134424,5 PM - before 9 PM,2
134476,5 PM - before 9 PM,2
134584,5 PM - before 9 PM,2
135096,5 PM - before 9 PM,2
135296,5 PM - before 9 PM,2
135300,5 PM - before 9 PM,2
135722,5 PM - before 9 PM,2
137864,5 PM - before 9 PM,2
137867,5 PM - before 9 PM,2
137869,5 PM - before 9 PM,2
138296,5 PM - before 9 PM,2
138315,5 PM - before 9 PM,2
138345,5 PM - before 9 PM,2
138389,5 PM - before 9 PM,2
138598,5 PM - before 9 PM,2
138758,5 PM - before 9 PM,2
138764,5 PM - before 9 PM,2
138979,5 PM - before 9 PM,2
138984,5 PM - before 9 PM,2
139005,5 PM - before 9 PM,2
141301,5 PM - before 9 PM,2
141400,5 PM - before 9 PM,2
348403,5 PM - before 9 PM,2
349532,5 PM - before 9 PM,2
349551,5 PM - before 9 PM,2
351651,5 PM - before 9 PM,2
352981,5 PM - before 9 PM,2
353398,5 PM - before 9 PM,2
353417,5 PM - before 9 PM,2
353623,5 PM - before 9 PM,2
366889,5 PM - before 9 PM,2
367363,5 PM - before 9 PM,2
368451,5 PM - before 9 PM,2
368653,5 PM - before 9 PM,2
368658,5 PM - before 9 PM,2
368660,5 PM - before 9 PM,2
369161,5 PM - before 9 PM,2
370870,5 PM - before 9 PM,2
371502,5 PM - before 9 PM,2
371503,5 PM - before 9 PM,2
371761,5 PM - before 9 PM,2
374331,5 PM - before 9 PM,2
374333,5 PM - before 9 PM,2
374365,5 PM - before 9 PM,2
377786,5 PM - before 9 PM,2
382969,5 PM - before 9 PM,2
382972,5 PM - before 9 PM,2
382974,5 PM - before 9 PM,2
390353,5 PM - before 9 PM,2
391113,5 PM - before 9 PM,2
392429,5 PM - before 9 PM,2
394256,5 PM - before 9 PM,2
398190,5 PM - before 9 PM,2
399411,5 PM - before 9 PM,2
